time,x,y,heading_deg,steer_deg,xte,target_idx
58.05,80.694,0.175,14.05,25.20,0.143,277
58.16,80.833,0.259,15.67,25.55,0.175,278
58.27,80.980,0.303,17.31,25.59,0.196,278
58.37,81.113,0.328,18.95,27.35,0.174,279
58.47,81.261,0.388,20.73,27.34,0.190,279
58.57,81.404,0.411,22.51,29.22,0.157,280
58.69,81.551,0.476,24.43,29.40,0.167,280
58.79,81.669,0.607,26.37,29.02,0.213,281
58.90,81.849,0.605,28.28,31.34,0.164,281
59.02,81.952,0.748,30.37,30.51,0.193,282
59.12,82.057,0.741,32.40,30.80,0.141,282
59.24,82.175,0.882,34.45,30.86,0.191,283
59.34,82.332,0.922,36.50,32.25,0.142,283
59.45,82.444,1.032,38.67,32.41,0.146,284
59.56,82.570,1.112,40.85,32.81,0.134,284
59.67,82.692,1.248,43.07,33.33,0.125,285
59.79,82.804,1.331,45.33,33.50,0.136,285
59.89,82.912,1.398,47.60,33.73,0.106,285
59.99,82.996,1.519,49.90,33.41,0.091,286
60.11,83.085,1.644,52.17,33.24,0.121,286
60.21,83.183,1.765,54.42,33.68,0.087,287
60.32,83.227,1.874,56.71,32.37,0.158,287
60.43,83.353,2.053,58.89,34.24,0.109,288
60.53,83.378,2.126,61.23,32.42,0.166,288
60.64,83.499,2.316,63.41,34.49,0.095,289
60.75,83.552,2.439,65.77,34.06,0.110,289
60.86,83.616,2.565,68.10,34.10,0.059,290
60.97,83.691,2.668,70.43,34.28,0.146,290
61.08,83.755,2.785,72.77,34.19,0.030,291
61.19,83.782,2.977,75.11,34.44,0.137,291
61.29,83.812,3.152,77.46,34.49,0.041,292
61.40,83.844,3.272,79.82,34.14,0.150,292
61.50,83.870,3.438,82.15,34.29,0.020,293
61.61,83.881,3.596,84.50,34.27,0.137,293
61.72,83.955,3.687,86.84,34.75,0.083,293
61.83,83.936,3.824,89.23,33.51,0.104,294
61.94,83.905,3.967,91.50,32.65,0.081,294
62.06,83.891,4.171,93.71,33.52,0.125,295
62.17,83.921,4.317,95.98,34.41,0.073,295
62.29,83.893,4.478,98.34,34.08,0.124,296
62.39,83.892,4.637,100.66,34.80,0.087,296
62.50,83.792,4.761,103.05,32.62,0.095,297
62.62,83.780,4.869,105.25,32.17,0.112,297
62.73,83.744,5.041,107.42,32.91,0.070,298
62.84,83.727,5.218,109.64,34.29,0.103,298
62.96,83.681,5.350,111.99,33.75,0.093,299
63.07,83.638,5.445,114.28,32.82,0.167,299
63.19,83.559,5.608,116.50,33.12,0.069,300
63.29,83.479,5.757,118.74,33.45,0.135,300
63.41,83.445,5.852,121.01,32.87,0.079,300
63.52,83.330,5.989,123.23,32.54,0.160,301
63.64,83.281,6.125,125.43,33.23,0.084,301
63.76,83.203,6.249,127.68,33.03,0.150,302
63.87,83.051,6.356,129.92,32.24,0.038,303
63.98,82.959,6.472,132.08,32.37,0.135,303
64.09,82.871,6.567,134.26,31.98,0.068,303
64.20,82.750,6.699,136.41,32.66,0.128,304
64.30,82.679,6.792,138.61,32.48,0.101,304
64.40,82.573,6.911,140.80,32.89,0.110,305
64.51,82.455,6.970,143.02,31.86,0.122,305
64.61,82.335,7.112,145.16,40.00,0.114,306
64.72,82.181,7.183,148.05,40.00,0.103,306
64.84,82.075,7.226,150.93,40.00,0.049,306
64.95,81.941,7.354,153.81,40.00,0.135,306
65.06,81.795,7.358,156.70,40.00,0.028,306
65.17,81.670,7.439,159.58,40.00,0.148,306
65.29,81.528,7.520,162.47,40.00,0.053,306
65.39,81.357,7.534,165.35,40.00,0.132,306
65.50,81.208,7.584,168.24,40.00,0.024,306
65.61,81.091,7.590,171.12,40.00,0.141,306
65.72,80.951,7.632,174.01,40.00,0.039,306
65.84,80.784,7.639,176.89,40.00,0.150,306
65.95,80.631,7.679,179.78,40.00,0.049,306
66.07,80.540,7.659,-177.34,40.00,0.109,306
66.17,80.345,7.639,-174.45,40.00,0.131,306
66.28,80.189,7.628,-171.57,40.00,0.185,306
66.39,80.088,7.605,-168.69,40.00,0.195,306
66.50,79.897,7.561,-165.80,40.00,0.241,306
66.61,79.727,7.544,-162.92,40.00,0.360,306
66.72,79.597,7.514,-160.03,40.00,0.482,306
66.83,79.508,7.410,-157.15,40.00,0.615,306
66.94,79.328,7.396,-154.26,40.00,0.773,306
67.04,79.192,7.352,-151.38,40.00,0.914,306
67.15,79.069,7.254,-148.49,40.00,1.069,306
67.25,78.935,7.180,-145.61,40.00,1.221,306
67.36,78.786,7.101,-142.72,40.00,1.390,306
67.47,78.688,7.000,-139.84,40.00,1.525,306
67.58,78.563,6.891,-136.95,40.00,1.689,306
67.69,78.477,6.829,-134.07,40.00,1.795,306
67.79,78.364,6.685,-131.19,40.00,1.968,306
67.90,78.275,6.576,-128.30,40.00,2.103,306
68.00,78.178,6.452,-125.42,40.00,2.254,306
68.12,78.056,6.304,-122.53,40.00,2.440,306
68.22,78.002,6.198,-119.65,36.33,2.547,305
68.34,77.933,6.113,-117.12,37.47,2.655,305
68.45,77.834,5.974,-114.48,37.58,2.819,305
68.55,77.800,5.801,-111.84,36.75,2.958,305
68.65,77.771,5.677,-109.27,36.92,3.064,305
68.77,77.689,5.548,-106.69,37.31,3.212,305
68.87,77.695,5.405,-104.07,37.15,3.309,305
68.98,77.630,5.278,-101.46,15.76,3.278,314
69.09,77.602,5.092,-100.49,15.93,3.092,314
69.20,77.549,4.948,-99.51,16.74,2.948,314
69.30,77.521,4.822,-98.48,16.74,2.823,314
69.41,77.507,4.640,-97.44,16.74,2.641,314
69.53,77.522,4.509,-96.41,15.20,2.510,314
69.64,77.464,4.363,-95.47,-32.33,2.366,318
69.76,77.429,4.220,-97.65,-37.73,2.225,319
69.86,77.439,4.087,-100.31,-40.00,2.093,320
69.97,77.405,3.915,-103.19,-40.00,1.919,320
70.08,77.387,3.740,-106.08,-40.00,1.743,321
70.20,77.328,3.622,-108.96,-40.00,1.623,322
70.29,77.321,3.468,-111.85,-40.00,1.469,322
70.41,77.239,3.366,-114.73,-40.00,1.367,323
70.52,77.162,3.205,-117.62,-40.00,1.211,323
70.62,77.101,3.114,-120.50,-40.00,1.120,324
70.72,77.026,2.970,-123.39,-40.00,0.971,324
70.84,76.913,2.843,-126.27,-40.00,0.846,325
70.94,76.842,2.724,-129.16,-40.00,0.738,325
71.05,76.729,2.592,-132.04,-40.00,0.595,325
71.17,76.638,2.485,-134.92,-40.00,0.487,326
71.27,76.542,2.351,-137.81,-40.00,0.377,326
71.37,76.406,2.238,-140.69,-40.00,0.240,327
71.48,76.317,2.146,-143.58,-40.00,0.158,327
71.60,76.200,2.101,-146.46,-40.00,0.160,327
71.71,76.067,2.035,-149.35,-40.00,0.036,328
71.82,75.922,1.906,-152.23,-40.00,0.175,328
71.94,75.818,1.840,-155.12,-40.00,0.167,329
72.04,75.709,1.788,-158.00,-40.00,0.222,329
72.15,75.541,1.784,-160.89,-35.55,0.227,330
72.25,75.450,1.699,-163.34,-35.78,0.301,330
72.37,75.274,1.623,-165.82,-37.14,0.392,330
72.47,75.169,1.595,-168.42,-31.98,0.405,331
72.59,74.958,1.595,-170.57,-32.15,0.415,331
72.69,74.803,1.550,-172.73,-28.38,0.455,332
72.80,74.657,1.538,-174.59,-28.19,0.470,332
72.90,74.530,1.536,-176.43,-23.04,0.465,333
73.02,74.370,1.494,-177.89,-24.33,0.517,333
73.12,74.220,1.505,-179.45,-19.40,0.497,334
73.24,74.051,1.498,179.34,-19.94,0.510,334
73.34,73.933,1.536,178.09,-14.13,0.465,335
73.45,73.778,1.507,177.23,-15.54,0.507,335
73.56,73.647,1.553,176.27,-10.21,0.448,336
73.67,73.480,1.517,175.65,-12.25,0.498,336
73.79,73.314,1.518,174.91,-9.36,0.484,337
73.89,73.179,1.546,174.34,-8.62,0.470,337
74.01,73.061,1.544,173.82,-6.02,0.456,338
74.12,72.858,1.598,173.46,-4.94,0.415,338
74.24,72.743,1.600,173.16,-2.88,0.401,339
74.34,72.565,1.621,172.99,-2.97,0.395,339
74.44,72.464,1.634,172.81,-0.83,0.367,340
74.56,72.251,1.645,172.76,-1.58,0.369,340
74.67,72.134,1.680,172.66,1.07,0.320,341
74.77,71.971,1.704,172.73,1.22,0.320,341
74.88,71.810,1.713,172.80,1.99,0.290,342
74.98,71.650,1.758,172.92,3.16,0.263,342
75.09,71.518,1.777,173.11,3.98,0.225,343
75.19,71.414,1.766,173.35,2.83,0.269,343
75.30,71.199,1.764,173.52,2.66,0.241,344
75.40,71.075,1.801,173.68,3.64,0.238,344
75.51,70.933,1.823,173.90,4.33,0.178,345
75.61,70.804,1.853,174.16,5.00,0.202,345
75.71,70.628,1.844,174.46,4.12,0.157,346
75.82,70.517,1.884,174.71,5.25,0.170,346
75.93,70.330,1.844,175.02,3.09,0.156,347
76.04,70.192,1.891,175.21,4.58,0.184,347
76.15,70.030,1.908,175.48,4.73,0.092,348
76.26,69.857,1.890,175.77,3.45,0.163,348
76.36,69.720,1.915,175.97,4.09,0.087,349
76.47,69.586,1.938,176.22,4.67,0.162,349
76.57,69.473,1.936,176.50,3.92,0.075,350
76.69,69.264,1.988,176.74,5.85,0.133,350
76.80,69.134,1.980,177.09,4.58,0.020,351
76.91,69.008,1.961,177.36,3.42,0.130,351
77.02,68.827,1.998,177.57,4.40,0.004,352
77.12,68.675,1.999,177.83,4.17,0.146,352
77.23,68.538,1.943,178.08,1.30,0.058,353
77.34,68.404,2.003,178.16,3.67,0.125,353
77.44,68.228,1.998,178.38,2.88,0.003,354
77.54,68.094,1.983,178.56,2.08,0.133,354
77.65,67.936,2.001,178.68,2.45,0.012,355
77.75,67.798,2.003,178.83,2.37,0.126,355
77.87,67.628,2.037,178.97,3.31,0.037,356
77.98,67.498,2.049,179.17,3.69,0.134,356
78.09,67.347,2.028,179.39,2.17,0.038,357
78.20,67.212,2.041,179.52,2.63,0.116,357
78.32,67.064,2.035,179.68,1.90,0.057,358
78.44,66.896,2.021,179.79,1.31,0.125,358
78.54,66.759,2.029,179.87,1.33,0.051,359
78.66,66.583,2.061,179.95,2.73,0.147,359
78.78,66.432,2.041,-179.89,1.37,0.045,360
78.89,66.313,1.997,-179.80,-0.51,0.103,360
78.99,66.140,2.018,-179.83,0.37,0.032,361
79.09,65.994,2.027,-179.81,0.78,0.122,361
79.19,65.829,2.039,-179.76,1.07,0.043,362
79.30,65.689,2.035,-179.70,0.93,0.128,362
79.42,65.537,2.062,-179.65,1.70,0.068,363
79.52,65.379,2.017,-179.54,-0.16,0.131,363
79.63,65.269,2.008,-179.55,-0.51,0.062,364
79.74,65.080,2.051,-179.58,1.39,0.138,364
79.84,64.937,2.023,-179.50,-0.05,0.038,365
79.96,64.785,2.024,-179.50,0.08,0.123,365
80.06,64.622,2.006,-179.50,-0.69,0.019,366
80.17,64.482,2.031,-179.54,0.42,0.125,366
80.29,64.332,2.031,-179.51,0.31,0.043,367
80.39,64.203,1.988,-179.50,-1.45,0.100,367
80.49,64.027,2.017,-179.58,-0.11,0.032,368
80.59,63.917,1.993,-179.59,-1.06,0.083,368
80.70,63.791,1.971,-179.65,-2.01,0.097,368
80.80,63.607,2.017,-179.77,0.29,0.093,369
80.92,63.411,2.013,-179.76,0.05,0.019,370
81.04,63.278,1.996,-179.75,-0.66,0.118,370
81.14,63.121,1.993,-179.79,-0.66,0.028,371
81.26,62.979,1.972,-179.83,-1.53,0.119,371
81.37,62.838,1.997,-179.92,-0.24,0.045,372
81.47,62.696,1.972,-179.94,-1.30,0.100,372
81.59,62.507,2.015,179.98,0.61,0.023,373
81.70,62.396,2.031,-179.98,1.25,0.100,373
81.80,62.250,1.989,-179.90,-0.58,0.062,374
81.92,62.117,2.009,-179.94,0.26,0.072,374
82.02,61.943,1.986,-179.92,-0.66,0.057,375
82.12,61.810,1.978,-179.96,-0.98,0.080,375
82.23,61.630,2.006,179.98,0.26,0.045,376
82.34,61.449,2.010,179.99,0.45,0.137,376
82.44,61.361,1.993,-179.98,-0.29,0.078,377
82.54,61.212,1.991,-180.00,-0.36,0.071,377
82.65,61.048,2.013,179.98,0.52,0.068,378
82.76,60.916,2.020,-179.99,0.77,0.068,378
82.87,60.721,1.993,-179.94,-0.37,0.042,379
82.99,60.608,1.974,-179.96,-1.12,0.076,379
83.09,60.436,2.003,179.97,0.17,0.059,380
83.20,60.267,1.981,179.98,-0.76,0.112,380
83.31,60.136,1.988,179.93,-0.33,0.061,381
83.42,59.966,1.985,179.91,-0.48,0.111,381
83.52,59.812,2.014,179.88,0.75,0.041,382
83.62,59.664,1.995,179.93,-0.07,0.110,382
83.73,59.521,1.967,179.93,-1.11,0.060,383
83.84,59.378,1.969,179.86,-1.01,0.099,383
83.94,59.247,2.016,179.80,0.94,0.079,384
84.05,59.091,1.988,179.85,-0.21,0.079,384
84.17,58.964,2.021,179.84,1.28,0.098,384
84.27,58.758,2.019,179.92,0.96,0.112,385
84.39,58.652,2.053,179.98,2.45,0.101,385
84.50,58.493,2.019,-179.88,0.53,0.075,386
84.61,58.330,1.973,-179.84,-1.27,0.071,387
84.72,58.175,1.978,-179.92,-1.06,0.092,387
84.84,58.037,2.005,-179.98,0.15,0.075,388
84.96,57.872,1.957,-179.98,-1.83,0.100,388
85.07,57.749,2.008,179.91,0.53,0.089,388
85.17,57.616,2.007,179.95,0.40,0.045,389
85.29,57.462,2.012,179.97,0.58,0.104,389
85.40,57.282,1.984,-179.99,-0.67,0.078,390
85.52,57.127,1.987,179.96,-0.41,0.071,391
85.64,57.057,2.025,179.94,1.10,0.025,391
85.75,56.858,1.972,-179.99,-1.28,0.107,391
85.86,56.679,2.024,179.93,1.13,0.079,392
85.97,56.572,1.992,180.00,-0.35,0.119,392
86.09,56.387,1.983,179.98,-0.63,0.068,393
86.19,56.273,2.014,179.94,0.73,0.122,393
86.30,56.105,2.014,179.98,0.60,0.048,394
86.41,55.950,1.995,-179.98,-0.24,0.101,394
86.52,55.791,2.029,-180.00,1.15,0.065,395
86.63,55.666,2.021,-179.93,0.79,0.121,395
86.74,55.472,1.996,-179.88,-0.40,0.075,396
86.84,55.337,1.979,-179.90,-1.15,0.094,396
86.94,55.200,2.002,-179.97,0.04,0.046,397
87.06,55.063,2.033,-179.97,1.40,0.124,397
87.15,54.887,2.055,-179.89,2.00,0.078,398
87.25,54.761,2.017,-179.77,0.31,0.121,398
87.36,54.578,1.983,-179.75,-1.16,0.066,399
87.46,54.450,2.004,-179.82,-0.20,0.110,399
87.57,54.252,1.980,-179.83,-1.17,0.090,400
87.69,54.112,2.029,-179.90,0.90,0.080,401
87.79,53.985,1.996,-179.85,-0.46,0.053,401
87.89,53.808,2.015,-179.87,0.31,0.074,402
88.00,53.716,2.002,-179.85,-0.19,0.020,402
88.11,53.549,1.980,-179.86,-1.14,0.116,402
88.22,53.411,1.992,-179.93,-0.42,0.024,403
88.32,53.224,1.995,-179.96,-0.33,0.092,403
88.42,53.092,1.948,-179.98,-2.13,0.066,404
88.54,52.910,1.940,179.89,-1.99,0.100,405
88.65,52.828,1.998,179.77,0.33,0.003,405
88.77,52.671,1.980,179.79,-0.48,0.144,405
88.87,52.499,2.024,179.77,1.40,0.038,406
88.97,52.348,2.013,179.85,0.88,0.122,406
89.08,52.192,1.999,179.90,0.14,0.034,407
89.19,52.053,1.983,179.91,-0.57,0.130,407
89.30,51.913,1.964,179.88,-1.19,0.038,408
89.41,51.734,2.009,179.80,0.81,0.112,408
89.52,51.592,1.989,179.85,-0.14,0.033,409
89.63,51.445,1.966,179.84,-1.20,0.129,409
89.74,51.320,2.012,179.77,0.88,0.012,410
89.84,51.170,2.040,179.83,2.07,0.156,410
89.94,50.976,2.037,179.95,1.59,0.057,411
90.04,50.833,2.006,-179.95,0.17,0.116,411
90.15,50.666,2.040,-179.94,1.52,0.065,412
90.26,50.501,2.029,-179.85,1.05,0.091,412
90.37,50.373,1.984,-179.79,-1.01,0.045,413
90.47,50.262,2.026,-179.85,0.83,0.151,413
90.59,50.089,2.006,-179.80,-0.14,0.025,414
90.70,49.961,1.984,-179.81,-1.08,0.150,414
90.81,49.810,2.044,-179.88,1.48,0.044,415
90.91,49.652,1.999,-179.79,-0.45,0.143,415
91.03,49.464,2.021,-179.81,0.49,0.050,416
91.14,49.370,2.006,-179.78,-0.16,0.140,416
91.24,49.195,1.982,-179.79,-1.08,0.022,417
91.35,49.060,1.985,-179.86,-0.91,0.148,417
91.45,48.923,2.005,-179.91,0.05,0.018,418
91.55,48.741,2.032,-179.91,1.25,0.141,418
91.66,48.582,2.030,-179.84,0.86,0.037,419
91.76,48.458,1.981,-179.78,-1.22,0.147,419
91.87,48.285,2.006,-179.86,-0.02,0.018,420
91.97,48.131,1.976,-179.86,-1.35,0.133,420
92.07,48.011,1.980,-179.94,-0.88,0.023,421
92.19,47.858,1.990,-179.99,-0.45,0.143,421
92.30,47.668,2.010,179.98,0.44,0.032,422
92.41,47.494,2.009,-179.99,0.37,0.098,422
92.52,47.427,2.006,-179.97,0.19,0.031,423
92.64,47.247,1.984,-179.96,-0.76,0.150,423
92.75,47.077,1.982,180.00,-0.70,0.025,424
92.86,46.944,2.031,179.95,1.45,0.154,424
92.97,46.789,2.012,-179.96,0.37,0.012,425
93.09,46.679,1.981,-179.94,-0.94,0.116,425
93.20,46.511,1.999,-179.99,-0.05,0.020,426
93.31,46.345,2.037,-180.00,1.59,0.150,426
93.41,46.181,2.003,-179.90,-0.08,0.009,427
93.52,46.069,1.977,-179.90,-1.14,0.122,427
93.62,45.908,2.020,-179.97,0.73,0.030,428
93.74,45.725,1.998,-179.93,-0.25,0.140,428
93.84,45.604,1.983,-179.94,-0.76,0.025,429
93.94,45.463,1.982,-179.99,-0.78,0.123,429
94.05,45.319,1.991,179.96,-0.27,0.037,430
94.15,45.189,2.030,179.95,1.33,0.099,430
94.26,44.990,2.000,-179.97,-0.04,0.009,431
94.37,44.825,2.004,-179.98,0.12,0.146,431
94.47,44.691,2.001,-179.97,-0.00,0.012,432
94.57,44.524,1.970,-179.97,-1.37,0.150,432
94.69,44.396,1.988,179.95,-0.36,0.022,433
94.80,44.213,2.006,179.93,0.42,0.138,433
94.90,44.059,1.996,179.95,-0.05,0.017,434
95.02,43.935,2.004,179.95,0.25,0.141,434
95.12,43.834,2.014,179.96,0.60,0.062,435
95.24,43.644,2.005,-180.00,0.22,0.129,435
95.35,43.498,1.991,-179.99,-0.36,0.028,436
95.46,43.329,2.025,179.99,1.08,0.145,436
95.55,43.172,1.962,-179.94,-1.57,0.038,437
95.67,43.028,1.992,179.96,-0.26,0.142,437
95.77,42.927,1.999,179.95,0.04,0.059,438
95.87,42.735,1.994,179.95,-0.17,0.133,438
95.99,42.599,2.009,179.94,0.44,0.034,439
96.11,42.418,2.000,179.97,0.06,0.148,439
96.21,42.283,2.012,179.97,0.52,0.023,440
96.32,42.139,1.990,-180.00,-0.42,0.126,440
96.42,41.995,1.971,179.98,-1.04,0.044,441
96.53,41.841,1.982,179.91,-0.62,0.122,441
96.65,41.662,1.989,179.88,-0.22,0.012,442
96.75,41.553,2.003,179.86,0.39,0.107,442
96.85,41.404,1.976,179.89,-0.70,0.052,443
96.96,41.296,1.948,179.85,-1.80,0.081,443
97.07,41.096,1.973,179.74,-0.53,0.047,444
97.17,40.957,1.991,179.71,0.17,0.100,444
97.29,40.789,1.998,179.72,0.45,0.035,445
97.39,40.674,2.019,179.74,1.28,0.083,445
97.49,40.505,2.012,179.82,0.78,0.054,446
97.59,40.366,2.014,179.87,0.85,0.089,446
97.70,40.188,2.023,179.92,1.01,0.043,447
97.80,40.051,2.029,179.98,1.24,0.104,447
97.91,39.893,1.993,-179.95,-0.35,0.045,448
98.02,39.702,2.015,-179.97,0.58,0.148,448
98.12,39.591,2.008,-179.93,0.17,0.045,449
98.23,39.434,2.002,-179.92,-0.08,0.113,449
98.34,39.286,1.986,-179.93,-0.64,0.043,450
98.44,39.162,1.940,-179.97,-2.53,0.102,450
98.54,38.996,1.991,179.88,-0.13,0.053,451
98.65,38.858,2.001,179.87,0.27,0.085,451
98.76,38.713,2.017,179.89,0.81,0.073,452
98.87,38.588,1.991,179.94,-0.26,0.054,452
98.99,38.413,1.996,179.92,-0.01,0.073,453
99.10,38.255,2.006,179.92,0.39,0.085,453
99.22,38.090,1.984,179.94,-0.51,0.054,454
99.32,37.911,1.975,179.91,-0.91,0.129,454
99.42,37.822,2.001,179.86,0.31,0.086,454
99.54,37.643,2.035,179.88,1.71,0.099,455
99.64,37.511,1.970,179.98,-1.06,0.082,456
99.74,37.322,1.980,179.92,-0.67,0.113,456
99.84,37.199,1.972,179.88,-0.82,0.073,457
99.95,37.061,2.031,179.83,1.59,0.078,457
100.06,36.889,1.985,179.92,-0.41,0.060,458
100.17,36.713,2.013,179.90,0.74,0.118,458
100.28,36.588,1.984,179.94,-0.47,0.062,459
100.39,36.414,2.041,179.91,1.90,0.121,459
100.49,36.297,2.035,-179.97,1.26,0.079,460
100.59,36.172,2.034,-179.90,1.18,0.064,460
100.71,36.016,2.011,-179.83,0.14,0.092,460
100.82,35.859,1.971,-179.82,-1.51,0.072,461
100.92,35.638,2.020,-179.91,0.61,0.025,462
101.02,35.580,2.040,-179.87,1.36,0.058,462
101.13,35.358,1.995,-179.79,-0.56,0.038,463
101.24,35.235,2.008,-179.82,-0.02,0.087,463
101.34,35.119,2.019,-179.82,0.50,0.102,463
101.45,34.946,2.014,-179.79,0.19,0.074,464
101.56,34.773,2.007,-179.78,-0.12,0.056,465
101.66,34.651,2.011,-179.79,0.05,0.067,465
101.77,34.496,1.996,-179.79,-0.54,0.081,466
101.87,34.302,2.028,-179.82,0.84,0.117,466
101.98,34.207,2.010,-179.77,0.02,0.095,466
102.09,34.021,2.029,-179.77,0.77,0.096,467
102.20,33.889,1.997,-179.72,-0.60,0.078,468
102.31,33.772,1.967,-179.76,-1.78,0.052,468
102.42,33.596,2.012,-179.87,0.29,0.088,468
102.52,33.445,1.976,-179.85,-1.27,0.069,469
102.62,33.317,2.004,-179.92,0.01,0.109,469
102.74,33.128,1.994,-179.92,-0.38,0.080,470
102.85,33.016,1.971,-179.95,-1.41,0.114,470
102.95,32.843,2.007,179.97,0.34,0.063,471
103.07,32.714,1.987,179.99,-0.56,0.111,471
103.17,32.541,2.002,179.96,0.18,0.063,472
103.29,32.376,2.003,179.97,0.18,0.074,473
103.40,32.246,1.991,179.98,-0.34,0.057,473
103.50,32.103,1.991,179.96,-0.32,0.104,473
103.60,31.949,1.980,179.94,-0.71,0.055,474
103.71,31.764,2.002,179.90,0.28,0.066,475
103.82,31.662,1.999,179.91,0.14,0.036,475
103.94,31.489,1.960,179.92,-1.68,0.101,475
104.04,31.343,1.976,179.82,-0.65,0.058,476
104.15,31.169,2.000,179.78,0.38,0.075,477
104.26,31.013,2.032,179.80,1.70,0.088,477
104.37,30.873,1.984,179.91,-0.43,0.082,478
104.48,30.716,2.007,179.88,0.53,0.076,478
104.59,30.583,1.992,179.91,-0.21,0.093,478
104.69,30.446,1.998,179.90,0.09,0.045,479
104.81,30.288,1.969,179.90,-1.21,0.104,479
104.92,30.160,2.010,179.83,0.72,0.031,480
105.02,30.008,1.961,179.88,-1.47,0.127,480
105.14,29.833,2.000,179.79,0.40,0.054,481
105.25,29.666,2.047,179.81,2.07,0.094,482
105.35,29.547,2.006,179.94,0.35,0.038,482
105.46,29.399,2.004,179.96,0.27,0.116,482
105.56,29.242,2.004,179.97,0.21,0.041,483
105.67,29.086,1.997,179.99,-0.11,0.105,483
105.77,28.934,2.017,179.98,0.73,0.050,484
105.87,28.815,1.993,-179.98,-0.34,0.136,484
105.99,28.602,2.003,-180.00,0.12,0.077,485
106.10,28.536,2.016,-179.99,0.65,0.144,485
106.20,28.365,2.019,-179.95,0.65,0.023,486
106.31,28.198,2.010,-179.91,0.28,0.123,486
106.42,28.061,1.993,-179.90,-0.48,0.017,487
106.52,27.899,2.049,-179.92,2.03,0.135,487
106.64,27.746,2.049,-179.80,1.59,0.057,488
106.75,27.603,2.017,-179.71,0.20,0.132,488
106.86,27.444,2.001,-179.70,-0.54,0.028,489
106.96,27.304,2.003,-179.73,-0.38,0.134,489
107.07,27.130,1.992,-179.75,-0.80,0.041,490
107.17,27.009,1.962,-179.80,-2.05,0.146,490
107.28,26.865,2.002,-179.92,-0.08,0.003,491
107.39,26.691,2.020,-179.93,0.75,0.126,491
107.50,26.575,1.972,-179.88,-1.31,0.030,492
107.61,26.376,1.997,-179.96,-0.24,0.112,492
107.71,26.225,1.963,-179.97,-1.51,0.053,493
107.82,26.075,1.987,179.94,-0.44,0.113,493
107.92,25.948,1.968,179.91,-1.07,0.035,494
108.03,25.800,1.966,179.84,-1.17,0.143,494
108.14,25.655,2.029,179.77,1.56,0.030,495
108.24,25.470,1.998,179.87,0.17,0.112,495
108.36,25.334,1.981,179.88,-0.52,0.031,496
108.47,25.185,2.033,179.85,1.75,0.132,496
108.57,25.047,1.991,179.95,-0.28,0.014,497
108.69,24.896,2.001,179.93,0.17,0.142,497
108.80,24.737,1.979,179.94,-0.73,0.028,498
108.90,24.604,2.034,179.90,1.66,0.154,498
109.01,24.427,1.987,-180.00,-0.51,0.029,499
109.12,24.298,1.984,179.97,-0.62,0.148,499
109.23,24.134,1.968,179.93,-1.11,0.036,500
109.34,23.972,2.022,179.87,1.24,0.125,500
109.44,23.872,1.998,179.94,0.04,0.023,501
109.55,23.656,1.993,179.94,-0.21,0.109,501
109.65,23.545,2.009,179.93,0.47,0.009,502
109.76,23.388,1.978,179.96,-0.89,0.144,502
109.87,23.273,1.981,179.90,-0.55,0.033,503
109.97,23.107,1.977,179.87,-0.74,0.140,503
110.09,22.937,1.991,179.83,-0.04,0.011,504
110.19,22.766,2.014,179.82,0.95,0.126,504
110.30,22.646,2.000,179.88,0.21,0.005,505
110.41,22.513,1.998,179.89,0.14,0.129,505
110.51,22.340,1.992,179.90,-0.13,0.008,506
110.62,22.215,1.999,179.89,0.17,0.125,506
110.73,22.048,1.985,179.90,-0.39,0.018,507
110.83,21.910,2.032,179.88,1.60,0.131,507
110.94,21.744,2.029,179.98,1.17,0.030,508
111.04,21.563,2.006,-179.95,0.18,0.129,508
111.15,21.460,2.033,-179.94,1.16,0.042,509
111.27,21.286,2.019,-179.87,0.60,0.150,509
111.38,21.126,2.008,-179.84,-0.00,0.010,510
111.49,20.983,1.972,-179.84,-1.55,0.152,510
111.59,20.827,2.000,-179.93,-0.14,0.003,511
111.70,20.698,1.988,-179.94,-0.63,0.133,511
111.82,20.552,2.023,-179.98,0.82,0.033,512
111.93,20.402,1.999,-179.93,-0.17,0.126,512
112.04,20.282,2.017,-179.94,0.53,0.058,513
112.15,20.108,1.998,-179.90,-0.25,0.119,513
112.26,19.930,1.984,-179.92,-0.76,0.017,514
112.37,19.789,2.009,-179.97,0.34,0.136,514
112.49,19.637,2.026,-179.94,0.89,0.030,515
112.59,19.507,1.994,-179.89,-0.44,0.116,515
112.70,19.318,1.994,-179.92,-0.40,0.007,516
112.82,19.229,2.035,-179.94,1.36,0.098,516
112.93,19.079,1.998,-179.86,-0.33,0.061,517
113.04,18.907,1.994,-179.88,-0.47,0.112,517
113.14,18.773,2.017,-179.91,0.47,0.059,518
113.25,18.599,1.995,-179.88,-0.45,0.118,518
113.35,18.424,1.984,-179.91,-0.78,0.018,519
113.45,18.248,2.015,-179.95,0.57,0.136,519
113.55,18.172,1.946,-179.92,-2.16,0.080,520
113.66,17.965,2.011,179.95,0.57,0.149,520
113.77,17.816,1.942,179.99,-2.23,0.059,521
113.87,17.711,2.014,179.85,0.88,0.102,521
113.98,17.567,2.013,179.90,0.66,0.059,522
114.09,17.383,2.015,179.94,0.74,0.127,522
114.19,17.271,1.980,179.99,-0.72,0.067,523
