# 60.0,40.0,5.0,lengthwise,50.0,2.0
x,y,type
5.0,7.0,0
6.0,7.0,0
7.0,7.0,0
8.0,7.0,0
9.0,7.0,0
10.0,7.0,0
11.0,7.0,0
12.0,7.0,0
13.0,7.0,0
14.0,7.0,0
15.0,7.0,0
16.0,7.0,0
17.0,7.0,0
18.0,7.0,0
19.0,7.0,0
20.0,7.0,0
21.0,7.0,0
22.0,7.0,0
23.0,7.0,0
24.0,7.0,0
25.0,7.0,0
26.0,7.0,0
27.0,7.0,0
28.0,7.0,0
29.0,7.0,0
30.0,7.0,0
31.0,7.0,0
32.0,7.0,0
33.0,7.0,0
34.0,7.0,0
35.0,7.0,0
36.0,7.0,0
37.0,7.0,0
38.0,7.0,0
39.0,7.0,0
40.0,7.0,0
41.0,7.0,0
42.0,7.0,0
43.0,7.0,0
44.0,7.0,0
45.0,7.0,0
46.0,7.0,0
47.0,7.0,0
48.0,7.0,0
49.0,7.0,0
50.0,7.0,0
51.0,7.0,0
52.0,7.0,0
53.0,7.0,0
54.0,7.0,0
55.0,7.0,0
56.0,7.0,0
57.0,7.0,0
58.0,7.0,0
59.0,7.0,0
60.0,7.0,0
60.0,7.0,1
60.254,7.011,1
60.507,7.043,1
60.758,7.096,1
61.006,7.17,1
61.249,7.265,1
61.487,7.381,1
61.719,7.516,1
61.943,7.67,1
62.159,7.843,1
62.366,8.033,1
62.563,8.241,1
62.748,8.464,1
62.922,8.703,1
63.084,8.956,1
63.232,9.222,1
63.366,9.5,1
63.486,9.789,1
63.591,10.087,1
63.68,10.393,1
63.754,10.706,1
63.812,11.025,1
63.853,11.347,1
63.878,11.673,1
63.887,12.0,1
63.887,12.0,1
63.887,12.526,1
63.887,13.053,1
63.887,13.579,1
63.887,14.105,1
63.887,14.632,1
63.887,15.158,1
63.887,15.684,1
63.887,16.211,1
63.887,16.737,1
63.887,17.263,1
63.887,17.789,1
63.887,18.316,1
63.887,18.842,1
63.887,19.368,1
63.887,19.895,1
63.887,20.421,1
63.887,20.947,1
63.887,21.474,1
63.887,22.0,1
63.887,22.0,1
63.878,22.327,1
63.853,22.653,1
63.812,22.975,1
63.754,23.294,1
63.68,23.607,1
63.591,23.913,1
63.486,24.211,1
63.366,24.5,1
63.232,24.778,1
63.084,25.044,1
62.922,25.297,1
62.748,25.536,1
62.563,25.759,1
62.366,25.967,1
62.159,26.157,1
61.943,26.33,1
61.719,26.484,1
61.487,26.619,1
61.249,26.735,1
61.006,26.83,1
60.758,26.904,1
60.507,26.957,1
60.254,26.989,1
60.0,27.0,1
60.0,27.0,0
59.0,27.0,0
58.0,27.0,0
57.0,27.0,0
56.0,27.0,0
55.0,27.0,0
54.0,27.0,0
53.0,27.0,0
52.0,27.0,0
51.0,27.0,0
