latitude,longitude
30.863555899999998,75.8582732
30.863555899999998,75.85827849738382
30.863555899999998,75.85828379476763
30.863555899999998,75.85828909215147
30.863555899999998,75.85829438953527
30.863555899999998,75.8582996869191
30.863555899999998,75.8583049843029
30.863555899999998,75.85831028168673
30.863555899999998,75.85831557907055
30.863555899999998,75.85832087645437
30.863555899999998,75.8583261738382
30.863555899999998,75.858331471222
30.863555899999998,75.85833676860582
30.863555899999998,75.85834206598963
30.863555899999998,75.85834736337345
30.863555899999998,75.85835266075728
30.863555899999998,75.8583579581411
30.863555899999998,75.85836325552492
30.863555899999998,75.85836855290873
30.863555899999998,75.85837385029255
30.863555899999998,75.85837914767636
30.863555899999998,75.8583844450602
30.863555899999998,75.858389742444
30.863555899999998,75.85839503982783
30.863555899999998,75.85840033721165
30.863555899999998,75.85840563459546
30.863555899999998,75.85841093197928
30.863555899999998,75.8584162293631
30.863555899999998,75.85842152674692
30.863555899999998,75.85842682413073
30.863555899999998,75.85843212151455
30.863555899999998,75.85843741889836
30.863555899999998,75.85844271628218
30.863555899999998,75.85844801366602
30.863555899999998,75.85845331104983
30.863555899999998,75.85845860843365
30.863555899999998,75.85846390581746
30.863555899999998,75.85846920320128
30.863555899999998,75.85847450058509
30.863555899999998,75.85847979796893
30.863555899999998,75.85848509535273
30.863555899999998,75.85849039273656
30.863555899999998,75.85849569012038
30.863555899999998,75.85850098750419
30.863555899999998,75.85850628488801
30.863555899999998,75.85851158227183
30.863555899999998,75.85851687965565
30.863555899999998,75.85852217703946
30.863555899999998,75.85852747442328
30.863555899999998,75.8585327718071
30.863555899999998,75.85853806919091
30.863555899999998,75.85854336657475
30.863555899999998,75.85854866395856
30.863555899999998,75.85855396134238
30.863555899999998,75.85855925872619
30.863555899999998,75.85856455611001
30.863555899999998,75.85856985349382
30.863555899999998,75.85857515087766
30.863555899999998,75.85858044826148
30.863555899999998,75.85858574564529
30.863555899999998,75.85859104302911
30.863555899999998,75.85859634041292
30.863555899999998,75.85860163779675
30.863555899999998,75.85860693518056
30.863555899999998,75.85861223256438
30.863555899999998,75.85861752994819
30.863555899999998,75.85862282733201
30.863555899999998,75.85862812471584
30.863555899999998,75.85863342209966
30.863555899999998,75.85863871948348
30.863555899999998,75.85864401686729
30.863555899999998,75.85864931425111
30.863555899999998,75.85865461163492
30.863555899999998,75.85865990901874
30.863555899999998,75.85866520640256
30.863555899999998,75.85867050378639
30.863555899999998,75.85867580117021
