x_m,y_m
-4.569,9.246
-4.975,9.500
-5.367,9.776
-5.744,10.071
-6.105,10.387
-6.448,10.721
-6.773,11.073
-7.079,11.442
-7.365,11.827
-7.630,12.226
-7.873,12.639
-8.094,13.064
-8.292,13.501
-8.466,13.947
-8.617,14.402
-8.743,14.864
-8.844,15.332
-8.920,15.805
-8.971,16.282
-8.997,16.760
-8.997,17.240
-8.971,17.718
-8.920,18.195
-8.844,18.668
-8.743,19.136
-8.617,19.598
-8.466,20.053
-8.292,20.499
-8.094,20.936
-7.873,21.361
-7.630,21.774
-7.365,22.173
-7.079,22.558
-6.773,22.927
-6.448,23.279
-6.105,23.613
-5.744,23.929
-5.367,24.224
-4.975,24.500
-4.569,24.754
-4.150,24.986
-3.719,25.196
-3.277,25.382
-2.827,25.545
-2.368,25.683
-1.902,25.797
-1.432,25.885
-0.957,25.949
-0.479,25.987
0.000,26.000
0.000,8.000
1.429,8.000
2.857,8.000
4.286,8.000
5.714,8.000
7.143,8.000
8.571,8.000
10.000,8.000
11.429,8.000
12.857,8.000
14.286,8.000
15.714,8.000
17.143,8.000
18.571,8.000
20.000,8.000
21.429,8.000
22.857,8.000
24.286,8.000
25.714,8.000
27.143,8.000
28.571,8.000
30.000,8.000
31.429,8.000
32.857,8.000
34.286,8.000
35.714,8.000
37.143,8.000
38.571,8.000
40.000,8.000
41.429,8.000
42.857,8.000
44.286,8.000
45.714,8.000
47.143,8.000
48.571,8.000
50.000,8.000
51.429,8.000
52.857,8.000
54.286,8.000
55.714,8.000
57.143,8.000
58.571,8.000
60.000,8.000
61.429,8.000
62.857,8.000
64.286,8.000
65.714,8.000
67.143,8.000
68.571,8.000
70.000,8.000
70.000,8.000
70.585,8.016
71.169,8.062
71.750,8.140
72.325,8.249
72.894,8.388
73.455,8.557
74.006,8.755
74.545,8.983
75.072,9.239
75.584,9.523
76.081,9.834
76.560,10.170
77.021,10.532
77.461,10.917
77.881,11.326
78.278,11.756
78.652,12.207
79.001,12.677
79.325,13.165
79.622,13.670
79.892,14.190
80.134,14.723
80.348,15.268
80.532,15.824
80.686,16.389
80.810,16.962
80.903,17.540
80.965,18.122
80.996,18.707
80.996,19.293
80.965,19.878
80.903,20.460
80.810,21.038
80.686,21.611
80.532,22.176
80.348,22.732
80.134,23.277
79.892,23.810
79.622,24.330
79.325,24.835
79.001,25.323
78.652,25.793
78.278,26.244
77.881,26.674
77.461,27.083
77.021,27.468
76.560,27.830
76.081,28.166
75.584,28.477
75.072,28.761
74.545,29.017
74.006,29.245
73.455,29.443
72.894,29.612
72.325,29.751
71.750,29.860
71.169,29.938
70.585,29.984
70.000,30.000
70.000,30.000
68.571,30.000
67.143,30.000
65.714,30.000
64.286,30.000
62.857,30.000
61.429,30.000
60.000,30.000
58.571,30.000
57.143,30.000
55.714,30.000
54.286,30.000
52.857,30.000
51.429,30.000
50.000,30.000
48.571,30.000
47.143,30.000
45.714,30.000
44.286,30.000
42.857,30.000
41.429,30.000
40.000,30.000
38.571,30.000
37.143,30.000
35.714,30.000
34.286,30.000
32.857,30.000
31.429,30.000
30.000,30.000
28.571,30.000
27.143,30.000
25.714,30.000
24.286,30.000
22.857,30.000
21.429,30.000
20.000,30.000
18.571,30.000
17.143,30.000
15.714,30.000
14.286,30.000
12.857,30.000
11.429,30.000
10.000,30.000
8.571,30.000
7.143,30.000
5.714,30.000
4.286,30.000
2.857,30.000
1.429,30.000
0.000,30.000
-0.000,12.000
-0.479,12.013
-0.957,12.051
-1.432,12.115
-1.902,12.203
-2.368,12.317
-2.827,12.455
-3.277,12.618
-3.719,12.804
-4.150,13.014
-4.569,13.246
-4.975,13.500
-5.367,13.776
-5.744,14.071
-6.105,14.387
-6.448,14.721
-6.773,15.073
-7.079,15.442
-7.365,15.827
-7.630,16.226
-7.873,16.639
-8.094,17.064
-8.292,17.501
-8.466,17.947
-8.617,18.402
-8.743,18.864
-8.844,19.332
-8.920,19.805
-8.971,20.282
-8.997,20.760
-8.997,21.240
-8.971,21.718
-8.920,22.195
-8.844,22.668
-8.743,23.136
-8.617,23.598
-8.466,24.053
-8.292,24.499
-8.094,24.936
-7.873,25.361
-7.630,25.774
-7.365,26.173
-7.079,26.558
-6.773,26.927
-6.448,27.279
-6.105,27.613
-5.744,27.929
-5.367,28.224
-4.975,28.500
-4.569,28.754
-4.150,28.986
-3.719,29.196
-3.277,29.382
-2.827,29.545
-2.368,29.683
-1.902,29.797
-1.432,29.885
-0.957,29.949
-0.479,29.987
0.000,30.000
0.000,12.000
1.429,12.000
2.857,12.000
4.286,12.000
5.714,12.000
7.143,12.000
8.571,12.000
10.000,12.000
11.429,12.000
12.857,12.000
14.286,12.000
15.714,12.000
17.143,12.000
18.571,12.000
20.000,12.000
21.429,12.000
22.857,12.000
24.286,12.000
25.714,12.000
27.143,12.000
28.571,12.000
30.000,12.000
31.429,12.000
32.857,12.000
34.286,12.000
35.714,12.000
37.143,12.000
38.571,12.000
40.000,12.000
41.429,12.000
42.857,12.000
44.286,12.000
45.714,12.000
47.143,12.000
48.571,12.000
50.000,12.000
51.429,12.000
52.857,12.000
54.286,12.000
55.714,12.000
57.143,12.000
58.571,12.000
60.000,12.000
61.429,12.000
62.857,12.000
64.286,12.000
65.714,12.000
67.143,12.000
68.571,12.000
70.000,12.000
70.000,12.000
70.585,12.016
71.169,12.062
71.750,12.140
72.325,12.249
72.894,12.388
73.455,12.557
74.006,12.755
74.545,12.983
75.072,13.239
75.584,13.523
76.081,13.834
76.560,14.170
77.021,14.532
77.461,14.917
77.881,15.326
78.278,15.756
78.652,16.207
79.001,16.677
79.325,17.165
79.622,17.670
79.892,18.190
80.134,18.723
80.348,19.268
80.532,19.824
80.686,20.389
80.810,20.962
80.903,21.540
80.965,22.122
80.996,22.707
80.996,23.293
80.965,23.878
80.903,24.460
80.810,25.038
80.686,25.611
80.532,26.176
80.348,26.732
80.134,27.277
79.892,27.810
79.622,28.330
79.325,28.835
79.001,29.323
78.652,29.793
78.278,30.244
77.881,30.674
77.461,31.083
77.021,31.468
76.560,31.830
76.081,32.166
75.584,32.477
75.072,32.761
74.545,33.017
74.006,33.245
73.455,33.443
72.894,33.612
72.325,33.751
71.750,33.860
71.169,33.938
70.585,33.984
70.000,34.000
70.000,34.000
68.571,34.000
67.143,34.000
65.714,34.000
64.286,34.000
62.857,34.000
61.429,34.000
60.000,34.000
58.571,34.000
57.143,34.000
55.714,34.000
54.286,34.000
52.857,34.000
51.429,34.000
50.000,34.000
48.571,34.000
47.143,34.000
45.714,34.000
44.286,34.000
42.857,34.000
41.429,34.000
40.000,34.000
38.571,34.000
37.143,34.000
35.714,34.000
34.286,34.000
32.857,34.000
31.429,34.000
30.000,34.000
28.571,34.000
27.143,34.000
25.714,34.000
24.286,34.000
22.857,34.000
21.429,34.000
20.000,34.000
18.571,34.000
17.143,34.000
15.714,34.000
14.286,34.000
12.857,34.000
11.429,34.000
10.000,34.000
8.571,34.000
7.143,34.000
5.714,34.000
4.286,34.000
2.857,34.000
1.429,34.000
0.000,34.000
-0.000,16.000
-0.479,16.013
-0.957,16.051
-1.432,16.115
-1.902,16.203
-2.368,16.317
-2.827,16.455
-3.277,16.618
-3.719,16.804
-4.150,17.014
-4.569,17.246
-4.975,17.500
-5.367,17.776
-5.744,18.071
-6.105,18.387
-6.448,18.721
-6.773,19.073
-7.079,19.442
-7.365,19.827
-7.630,20.226
-7.873,20.639
-8.094,21.064
-8.292,21.501
-8.466,21.947
-8.617,22.402
-8.743,22.864
-8.844,23.332
-8.920,23.805
-8.971,24.282
-8.997,24.760
-8.997,25.240
-8.971,25.718
-8.920,26.195
-8.844,26.668
-8.743,27.136
-8.617,27.598
-8.466,28.053
-8.292,28.499
-8.094,28.936
-7.873,29.361
-7.630,29.774
-7.365,30.173
-7.079,30.558
-6.773,30.927
-6.448,31.279
-6.105,31.613
-5.744,31.929
-5.367,32.224
-4.975,32.500
-4.569,32.754
-4.150,32.986
-3.719,33.196
-3.277,33.382
-2.827,33.545
-2.368,33.683
-1.902,33.797
-1.432,33.885
-0.957,33.949
-0.479,33.987
0.000,34.000
0.000,16.000
1.429,16.000
2.857,16.000
4.286,16.000
5.714,16.000
7.143,16.000
8.571,16.000
10.000,16.000
11.429,16.000
12.857,16.000
14.286,16.000
15.714,16.000
17.143,16.000
18.571,16.000
20.000,16.000
21.429,16.000
22.857,16.000
24.286,16.000
25.714,16.000
27.143,16.000
28.571,16.000
30.000,16.000
31.429,16.000
32.857,16.000
34.286,16.000
35.714,16.000
37.143,16.000
38.571,16.000
40.000,16.000
41.429,16.000
42.857,16.000
44.286,16.000
45.714,16.000
47.143,16.000
48.571,16.000
50.000,16.000
51.429,16.000
52.857,16.000
54.286,16.000
55.714,16.000
57.143,16.000
58.571,16.000
60.000,16.000
61.429,16.000
62.857,16.000
64.286,16.000
65.714,16.000
67.143,16.000
68.571,16.000
70.000,16.000
70.000,16.000
70.585,16.016
71.169,16.062
71.750,16.140
72.325,16.249
72.894,16.388
73.455,16.557
74.006,16.755
74.545,16.983
75.072,17.239
75.584,17.523
76.081,17.834
76.560,18.170
77.021,18.532
77.461,18.917
77.881,19.326
78.278,19.756
78.652,20.207
79.001,20.677
79.325,21.165
79.622,21.670
79.892,22.190
80.134,22.723
80.348,23.268
80.532,23.824
80.686,24.389
80.810,24.962
80.903,25.540
80.965,26.122
80.996,26.707
80.996,27.293
80.965,27.878
80.903,28.460
80.810,29.038
80.686,29.611
80.532,30.176
80.348,30.732
80.134,31.277
79.892,31.810
79.622,32.330
79.325,32.835
79.001,33.323
78.652,33.793
78.278,34.244
77.881,34.674
77.461,35.083
77.021,35.468
76.560,35.830
76.081,36.166
75.584,36.477
75.072,36.761
74.545,37.017
74.006,37.245
73.455,37.443
72.894,37.612
72.325,37.751
71.750,37.860
71.169,37.938
70.585,37.984
70.000,38.000
70.000,38.000
68.571,38.000
67.143,38.000
65.714,38.000
64.286,38.000
62.857,38.000
61.429,38.000
60.000,38.000
58.571,38.000
57.143,38.000
55.714,38.000
54.286,38.000
52.857,38.000
51.429,38.000
50.000,38.000
48.571,38.000
47.143,38.000
45.714,38.000
44.286,38.000
42.857,38.000
41.429,38.000
40.000,38.000
38.571,38.000
37.143,38.000
35.714,38.000
34.286,38.000
32.857,38.000
31.429,38.000
30.000,38.000
28.571,38.000
27.143,38.000
25.714,38.000
24.286,38.000
22.857,38.000
21.429,38.000
20.000,38.000
18.571,38.000
17.143,38.000
15.714,38.000
14.286,38.000
12.857,38.000
11.429,38.000
10.000,38.000
8.571,38.000
7.143,38.000
5.714,38.000
4.286,38.000
2.857,38.000
1.429,38.000
0.000,38.000
-0.000,20.000
-0.479,20.013
-0.957,20.051
-1.432,20.115
-1.902,20.203
-2.368,20.317
-2.827,20.455
-3.277,20.618
-3.719,20.804
-4.150,21.014
-4.569,21.246
-4.975,21.500
-5.367,21.776
-5.744,22.071
-6.105,22.387
-6.448,22.721
-6.773,23.073
-7.079,23.442
-7.365,23.827
-7.630,24.226
-7.873,24.639
-8.094,25.064
-8.292,25.501
-8.466,25.947
-8.617,26.402
-8.743,26.864
-8.844,27.332
-8.920,27.805
-8.971,28.282
-8.997,28.760
-8.997,29.240
-8.971,29.718
-8.920,30.195
-8.844,30.668
-8.743,31.136
-8.617,31.598
-8.466,32.053
-8.292,32.499
-8.094,32.936
-7.873,33.361
-7.630,33.774
-7.365,34.173
-7.079,34.558
-6.773,34.927
-6.448,35.279
-6.105,35.613
-5.744,35.929
-5.367,36.224
-4.975,36.500
-4.569,36.754
-4.150,36.986
-3.719,37.196
-3.277,37.382
-2.827,37.545
-2.368,37.683
-1.902,37.797
-1.432,37.885
-0.957,37.949
-0.479,37.987
0.000,38.000
0.000,20.000
1.429,20.000
2.857,20.000
4.286,20.000
5.714,20.000
7.143,20.000
8.571,20.000
10.000,20.000
11.429,20.000
12.857,20.000
14.286,20.000
15.714,20.000
17.143,20.000
18.571,20.000
20.000,20.000
21.429,20.000
22.857,20.000
24.286,20.000
25.714,20.000
27.143,20.000
28.571,20.000
30.000,20.000
31.429,20.000
32.857,20.000
34.286,20.000
35.714,20.000
37.143,20.000
38.571,20.000
40.000,20.000
41.429,20.000
42.857,20.000
44.286,20.000
45.714,20.000
47.143,20.000
48.571,20.000
50.000,20.000
51.429,20.000
52.857,20.000
54.286,20.000
55.714,20.000
57.143,20.000
58.571,20.000
60.000,20.000
61.429,20.000
62.857,20.000
64.286,20.000
65.714,20.000
67.143,20.000
68.571,20.000
70.000,20.000
70.000,20.000
70.479,19.987
70.957,19.949
71.432,19.885
71.902,19.797
72.368,19.683
72.827,19.545
73.277,19.382
73.719,19.196
74.150,18.986
74.569,18.754
74.975,18.500
75.367,18.224
75.744,17.929
76.105,17.613
76.448,17.279
76.773,16.927
77.079,16.558
77.365,16.173
77.630,15.774
77.873,15.361
78.094,14.936
78.292,14.499
78.466,14.053
78.617,13.598
78.743,13.136
78.844,12.668
78.920,12.195
78.971,11.718
78.997,11.240
78.997,10.760
78.971,10.282
78.920,9.805
78.844,9.332
78.743,8.864
78.617,8.402
78.466,7.947
78.292,7.501
78.094,7.064
77.873,6.639
77.630,6.226
77.365,5.827
77.079,5.442
76.773,5.073
76.448,4.721
76.105,4.387
75.744,4.071
75.367,3.776
74.975,3.500
74.569,3.246
74.150,3.014
73.719,2.804
73.277,2.618
72.827,2.455
72.368,2.317
71.902,2.203
71.432,2.115
70.957,2.051
70.479,2.013
70.000,2.000
70.000,2.000
68.571,2.000
67.143,2.000
65.714,2.000
64.286,2.000
62.857,2.000
61.429,2.000
60.000,2.000
58.571,2.000
57.143,2.000
55.714,2.000
54.286,2.000
52.857,2.000
51.429,2.000
50.000,2.000
48.571,2.000
47.143,2.000
45.714,2.000
44.286,2.000
42.857,2.000
41.429,2.000
40.000,2.000
38.571,2.000
37.143,2.000
35.714,2.000
34.286,2.000
32.857,2.000
31.429,2.000
30.000,2.000
28.571,2.000
27.143,2.000
25.714,2.000
24.286,2.000
22.857,2.000
