x_m,y_m
5.714,10.000
4.286,10.000
2.857,10.000
1.429,10.000
0.000,10.000
0.000,32.000
-0.585,31.984
-1.169,31.938
-1.750,31.860
-2.325,31.751
-2.894,31.612
-3.455,31.443
-4.006,31.245
-4.545,31.017
-5.072,30.761
-5.584,30.477
-6.081,30.166
-6.560,29.830
-7.021,29.468
-7.461,29.083
-7.881,28.674
-8.278,28.244
-8.652,27.793
-9.001,27.323
-9.325,26.835
-9.622,26.330
-9.892,25.810
-10.134,25.277
-10.348,24.732
-10.532,24.176
-10.686,23.611
-10.810,23.038
-10.903,22.460
-10.965,21.878
-10.996,21.293
-10.996,20.707
-10.965,20.122
-10.903,19.540
-10.810,18.962
-10.686,18.389
-10.532,17.824
-10.348,17.268
-10.134,16.723
-9.892,16.190
-9.622,15.670
-9.325,15.165
-9.001,14.677
-8.652,14.207
-8.278,13.756
-7.881,13.326
-7.461,12.917
-7.021,12.532
-6.560,12.170
-6.081,11.834
-5.584,11.523
-5.072,11.239
-4.545,10.983
-4.006,10.755
-3.455,10.557
-2.894,10.388
-2.325,10.249
-1.750,10.140
-1.169,10.062
-0.585,10.016
-0.000,10.000
0.000,32.000
1.429,32.000
2.857,32.000
4.286,32.000
5.714,32.000
7.143,32.000
8.571,32.000
10.000,32.000
11.429,32.000
12.857,32.000
14.286,32.000
15.714,32.000
17.143,32.000
18.571,32.000
20.000,32.000
21.429,32.000
22.857,32.000
24.286,32.000
25.714,32.000
27.143,32.000
28.571,32.000
30.000,32.000
31.429,32.000
32.857,32.000
34.286,32.000
35.714,32.000
37.143,32.000
38.571,32.000
40.000,32.000
41.429,32.000
42.857,32.000
44.286,32.000
45.714,32.000
47.143,32.000
48.571,32.000
50.000,32.000
51.429,32.000
52.857,32.000
54.286,32.000
55.714,32.000
57.143,32.000
58.571,32.000
60.000,32.000
61.429,32.000
62.857,32.000
64.286,32.000
65.714,32.000
67.143,32.000
68.571,32.000
70.000,32.000
70.000,32.000
70.479,31.987
70.957,31.949
71.432,31.885
71.902,31.797
72.368,31.683
72.827,31.545
73.277,31.382
73.719,31.196
74.150,30.986
74.569,30.754
74.975,30.500
75.367,30.224
75.744,29.929
76.105,29.613
76.448,29.279
76.773,28.927
77.079,28.558
77.365,28.173
77.630,27.774
77.873,27.361
78.094,26.936
78.292,26.499
78.466,26.053
78.617,25.598
78.743,25.136
78.844,24.668
78.920,24.195
78.971,23.718
78.997,23.240
78.997,22.760
78.971,22.282
78.920,21.805
78.844,21.332
78.743,20.864
78.617,20.402
78.466,19.947
78.292,19.501
78.094,19.064
77.873,18.639
77.630,18.226
77.365,17.827
77.079,17.442
76.773,17.073
76.448,16.721
76.105,16.387
75.744,16.071
75.367,15.776
74.975,15.500
74.569,15.246
74.150,15.014
73.719,14.804
73.277,14.618
72.827,14.455
72.368,14.317
71.902,14.203
71.432,14.115
70.957,14.051
70.479,14.013
70.000,14.000
70.000,14.000
68.571,14.000
67.143,14.000
65.714,14.000
64.286,14.000
62.857,14.000
61.429,14.000
60.000,14.000
58.571,14.000
57.143,14.000
55.714,14.000
54.286,14.000
52.857,14.000
51.429,14.000
50.000,14.000
48.571,14.000
47.143,14.000
45.714,14.000
44.286,14.000
42.857,14.000
41.429,14.000
40.000,14.000
38.571,14.000
37.143,14.000
35.714,14.000
34.286,14.000
32.857,14.000
31.429,14.000
30.000,14.000
28.571,14.000
27.143,14.000
25.714,14.000
24.286,14.000
22.857,14.000
21.429,14.000
20.000,14.000
18.571,14.000
17.143,14.000
15.714,14.000
14.286,14.000
12.857,14.000
11.429,14.000
10.000,14.000
8.571,14.000
7.143,14.000
5.714,14.000
4.286,14.000
2.857,14.000
1.429,14.000
0.000,14.000
0.000,36.000
-0.585,35.984
-1.169,35.938
-1.750,35.860
-2.325,35.751
-2.894,35.612
-3.455,35.443
-4.006,35.245
-4.545,35.017
-5.072,34.761
-5.584,34.477
-6.081,34.166
-6.560,33.830
-7.021,33.468
-7.461,33.083
-7.881,32.674
-8.278,32.244
-8.652,31.793
-9.001,31.323
-9.325,30.835
-9.622,30.330
-9.892,29.810
-10.134,29.277
-10.348,28.732
-10.532,28.176
-10.686,27.611
-10.810,27.038
-10.903,26.460
-10.965,25.878
-10.996,25.293
-10.996,24.707
-10.965,24.122
-10.903,23.540
-10.810,22.962
-10.686,22.389
-10.532,21.824
-10.348,21.268
-10.134,20.723
-9.892,20.190
-9.622,19.670
-9.325,19.165
-9.001,18.677
-8.652,18.207
-8.278,17.756
-7.881,17.326
-7.461,16.917
-7.021,16.532
-6.560,16.170
-6.081,15.834
-5.584,15.523
-5.072,15.239
-4.545,14.983
-4.006,14.755
-3.455,14.557
-2.894,14.388
-2.325,14.249
-1.750,14.140
-1.169,14.062
-0.585,14.016
-0.000,14.000
0.000,36.000
1.429,36.000
2.857,36.000
4.286,36.000
5.714,36.000
7.143,36.000
8.571,36.000
10.000,36.000
11.429,36.000
12.857,36.000
14.286,36.000
15.714,36.000
17.143,36.000
18.571,36.000
20.000,36.000
21.429,36.000
22.857,36.000
24.286,36.000
25.714,36.000
27.143,36.000
28.571,36.000
30.000,36.000
31.429,36.000
32.857,36.000
34.286,36.000
35.714,36.000
37.143,36.000
38.571,36.000
40.000,36.000
41.429,36.000
42.857,36.000
44.286,36.000
45.714,36.000
47.143,36.000
48.571,36.000
50.000,36.000
51.429,36.000
52.857,36.000
54.286,36.000
55.714,36.000
57.143,36.000
58.571,36.000
60.000,36.000
61.429,36.000
62.857,36.000
64.286,36.000
65.714,36.000
67.143,36.000
68.571,36.000
70.000,36.000
70.000,36.000
70.479,35.987
70.957,35.949
71.432,35.885
71.902,35.797
72.368,35.683
72.827,35.545
73.277,35.382
73.719,35.196
74.150,34.986
74.569,34.754
74.975,34.500
75.367,34.224
75.744,33.929
76.105,33.613
76.448,33.279
76.773,32.927
77.079,32.558
77.365,32.173
77.630,31.774
77.873,31.361
78.094,30.936
78.292,30.499
78.466,30.053
78.617,29.598
78.743,29.136
78.844,28.668
78.920,28.195
78.971,27.718
78.997,27.240
78.997,26.760
78.971,26.282
78.920,25.805
78.844,25.332
78.743,24.864
78.617,24.402
78.466,23.947
78.292,23.501
78.094,23.064
77.873,22.639
77.630,22.226
77.365,21.827
77.079,21.442
76.773,21.073
76.448,20.721
76.105,20.387
75.744,20.071
75.367,19.776
74.975,19.500
74.569,19.246
74.150,19.014
73.719,18.804
73.277,18.618
72.827,18.455
72.368,18.317
71.902,18.203
71.432,18.115
70.957,18.051
70.479,18.013
70.000,18.000
70.000,18.000
68.571,18.000
67.143,18.000
65.714,18.000
64.286,18.000
62.857,18.000
61.429,18.000
60.000,18.000
58.571,18.000
57.143,18.000
55.714,18.000
54.286,18.000
52.857,18.000
51.429,18.000
50.000,18.000
48.571,18.000
47.143,18.000
45.714,18.000
44.286,18.000
42.857,18.000
41.429,18.000
40.000,18.000
38.571,18.000
37.143,18.000
35.714,18.000
34.286,18.000
32.857,18.000
31.429,18.000
30.000,18.000
28.571,18.000
27.143,18.000
25.714,18.000
24.286,18.000
22.857,18.000
21.429,18.000
20.000,18.000
18.571,18.000
17.143,18.000
15.714,18.000
14.286,18.000
12.857,18.000
11.429,18.000
10.000,18.000
8.571,18.000
7.143,18.000
5.714,18.000
4.286,18.000
2.857,18.000
1.429,18.000
0.000,18.000
