x,y
0.0,0.0
0.4876598490941707,0.1724137931034483
0.9753196981883414,0.3448275862068966
1.462979547282512,0.5172413793103449
1.9506393963766828,0.6896551724137931
2.4382992454708536,0.8620689655172414
2.925959094565024,1.0344827586206897
3.413618943659195,1.206896551724138
3.9012787927533656,1.3793103448275863
4.3889386418475365,1.5517241379310347
4.876598490941707,1.7241379310344829
5.364258340035878,1.896551724137931
5.851918189130048,2.0689655172413794
6.339578038224219,2.241379310344828
6.82723788731839,2.413793103448276
7.3148977364125605,2.586206896551724
7.802557585506731,2.7586206896551726
8.290217434600901,2.931034482758621
8.777877283695073,3.1034482758620694
9.265537132789243,3.2758620689655173
9.753196981883415,3.4482758620689657
10.240856830977584,3.620689655172414
10.728516680071756,3.793103448275862
11.216176529165926,3.9655172413793105
11.703836378260096,4.137931034482759
12.191496227354268,4.310344827586207
12.679156076448438,4.482758620689656
13.16681592554261,4.655172413793104
13.65447577463678,4.827586206896552
14.142135623730951,5.0
14.142135623730951,5.0
14.668451413204636,5.0
15.19476720267832,5.0
15.721082992152004,5.0
16.247398781625687,5.0
16.773714571099372,5.0
17.300030360573057,5.0
17.82634615004674,5.0
18.352661939520424,5.0
18.87897772899411,5.0
19.405293518467793,5.0
19.93160930794148,5.0
20.457925097415163,5.0
20.984240886888845,5.0
21.51055667636253,5.0
22.036872465836215,5.0
22.563188255309896,5.0
23.08950404478358,5.0
23.615819834257266,5.0
24.14213562373095,5.0
24.14213562373095,5.0
24.646337304403218,5.0
25.15053898507549,5.0
25.65474066574776,5.0
26.158942346420027,5.0
26.663144027092294,5.0
27.167345707764564,5.0
27.671547388436835,5.0
28.175749069109102,5.0
28.67995074978137,5.0
29.18415243045364,5.0
29.68835411112591,5.0
30.192555791798178,5.0
30.696757472470445,5.0
31.200959153142716,5.0
31.705160833814986,5.0
32.20936251448725,5.0
32.71356419515952,5.0
33.21776587583179,5.0
33.72196755650406,5.0
34.22616923717633,5.0
34.730370917848596,5.0
35.23457259852087,5.0
35.73877427919314,5.0
36.242975959865404,5.0
36.74717764053767,5.0
37.25137932120994,5.0
37.75558100188221,5.0
38.25978268255448,5.0
38.76398436322675,5.0
39.26818604389902,5.0
39.77238772457129,5.0
40.276589405243556,5.0
40.78079108591582,5.0
41.28499276658809,5.0
41.789194447260364,5.0
42.29339612793263,5.0
42.7975978086049,5.0
43.30179948927717,5.0
43.80600116994944,5.0
44.31020285062171,5.0
44.814404531293974,5.0
45.31860621196624,5.0
45.822807892638515,5.0
46.32700957331078,5.0
46.83121125398305,5.0
47.335412934655324,5.0
47.83961461532759,5.0
48.34381629599986,5.0
48.848017976672125,5.0
49.35221965734439,5.0
49.856421338016666,5.0
50.36062301868893,5.0
50.8648246993612,5.0
51.369026380033475,5.0
51.87322806070574,5.0
52.37742974137801,5.0
52.881631422050276,5.0
53.38583310272254,5.0
53.89003478339482,5.0
54.394236464067085,5.0
54.89843814473935,5.0
55.402639825411626,5.0
55.90684150608389,5.0
56.41104318675616,5.0
56.91524486742843,5.0
57.419446548100694,5.0
57.92364822877297,5.0
58.427849909445236,5.0
58.9320515901175,5.0
59.43625327078978,5.0
59.940454951462044,5.0
60.44465663213431,5.0
60.94885831280658,5.0
61.453059993478846,5.0
61.95726167415112,5.0
62.46146335482339,5.0
62.965665035495654,5.0
63.46986671616793,5.0
63.974068396840195,5.0
64.47827007751246,5.0
64.98247175818473,5.0
65.486673438857,5.0
65.99087511952928,5.0
66.49507680020153,5.0
66.99927848087381,5.0
67.50348016154608,5.0
68.00768184221835,5.0
68.51188352289061,5.0
69.01608520356288,5.0
69.52028688423515,5.0
70.02448856490741,5.0
70.5286902455797,5.0
71.03289192625195,5.0
71.53709360692423,5.0
72.0412952875965,5.0
72.54549696826876,5.0
73.04969864894103,5.0
73.5539003296133,5.0
74.05810201028558,5.0
74.56230369095783,5.0
75.06650537163011,5.0
75.57070705230238,5.0
76.07490873297465,5.0
76.57911041364692,5.0
77.08331209431918,5.0
77.58751377499145,5.0
78.09171545566372,5.0
78.595917136336,5.0
79.10011881700825,5.0
79.60432049768053,5.0
80.1085221783528,5.0
80.61272385902507,5.0
81.11692553969733,5.0
81.6211272203696,5.0
82.12532890104188,5.0
82.62953058171414,5.0
83.13373226238642,5.0
83.63793394305868,5.0
84.14213562373095,5.0
84.14213562373095,20.0
83.63793394305868,20.0
83.13373226238642,20.0
82.62953058171415,20.0
82.12532890104188,20.0
81.6211272203696,20.0
81.11692553969733,20.0
80.61272385902507,20.0
80.1085221783528,20.0
79.60432049768053,20.0
79.10011881700827,20.0
78.595917136336,20.0
78.09171545566372,20.0
77.58751377499145,20.0
77.08331209431918,20.0
76.57911041364692,20.0
76.07490873297465,20.0
75.57070705230238,20.0
75.06650537163011,20.0
74.56230369095785,20.0
74.05810201028558,20.0
73.5539003296133,20.0
73.04969864894103,20.0
72.54549696826876,20.0
72.0412952875965,20.0
71.53709360692423,20.0
71.03289192625196,20.0
70.5286902455797,20.0
70.02448856490741,20.0
69.52028688423515,20.0
69.01608520356288,20.0
68.51188352289061,20.0
68.00768184221835,20.0
67.50348016154608,20.0
66.99927848087381,20.0
66.49507680020153,20.0
65.99087511952928,20.0
65.486673438857,20.0
64.98247175818473,20.0
64.47827007751246,20.0
63.974068396840195,20.0
63.46986671616793,20.0
62.96566503549566,20.0
62.46146335482339,20.0
61.95726167415112,20.0
61.45305999347885,20.0
60.94885831280658,20.0
60.44465663213431,20.0
59.940454951462044,20.0
59.43625327078978,20.0
58.93205159011751,20.0
58.427849909445236,20.0
57.92364822877297,20.0
57.4194465481007,20.0
56.91524486742843,20.0
56.41104318675616,20.0
55.90684150608389,20.0
55.402639825411626,20.0
54.89843814473936,20.0
54.394236464067085,20.0
53.89003478339482,20.0
53.38583310272255,20.0
52.881631422050276,20.0
52.37742974137801,20.0
