latitude,longitude
30.863555899999998,75.8582732
30.863555899999998,75.85827848656413
30.863555899999998,75.85828377312826
30.863555899999998,75.8582890596924
30.863555899999998,75.85829434625653
30.863555899999998,75.85829963282066
30.863555899999998,75.85830491938479
30.863555899999998,75.85831020594891
30.863555899999998,75.85831549251304
30.863555899999998,75.85832077907719
30.863555899999998,75.85832606564132
30.863555899999998,75.85833135220544
30.863555899999998,75.85833663876957
30.863555899999998,75.8583419253337
30.863555899999998,75.85834721189784
30.863555899999998,75.85835249846197
30.863555899999998,75.8583577850261
30.863555899999998,75.85836307159023
30.863555899999998,75.85836835815437
30.863555899999998,75.85837364471848
30.863555899999998,75.85837893128262
30.863555899999998,75.85838421784676
30.863555899999998,75.8583895044109
30.863555899999998,75.85839479097501
30.863555899999998,75.85840007753914
30.863555899999998,75.85840536410328
30.863555899999998,75.85841065066742
30.863555899999998,75.85841593723154
30.863555899999998,75.85842122379567
30.863555899999998,75.8584265103598
30.863555899999998,75.85843179692394
30.863555899999998,75.85843708348807
30.863555899999998,75.8584423700522
30.863555899999998,75.85844765661633
30.863555899999998,75.85845294318047
30.863555899999998,75.8584582297446
30.863555899999998,75.85846351630872
30.863555899999998,75.85846880287285
30.863555899999998,75.858474089437
30.863555899999998,75.85847937600113
30.863555899999998,75.85848466256525
30.863555899999998,75.85848994912938
30.863555899999998,75.85849523569351
30.863555899999998,75.85850052225764
30.863555899999998,75.85850580882177
30.863555899999998,75.85851109538591
30.863555899999998,75.85851638195004
30.863555899999998,75.85852166851417
30.863555899999998,75.85852695507829
30.863555899999998,75.85853224164244
30.863555899999998,75.85853752820657
30.863555899999998,75.8585428147707
30.863555899999998,75.85854810133482
30.863555899999998,75.85855338789895
30.863555899999998,75.85855867446308
30.863555899999998,75.85856396102723
30.863555899999998,75.85856924759135
30.863555899999998,75.85857453415548
30.863555899999998,75.85857982071961
30.863555899999998,75.85858510728374
30.863555899999998,75.85859039384786
30.863555899999998,75.85859568041201
30.863555899999998,75.85860096697614
30.863555899999998,75.85860625354027
30.863555899999998,75.85861154010439
30.863555899999998,75.85861682666852
30.863555899999998,75.85862211323266
30.863555899999998,75.8586273997968
30.863555899999998,75.85863268636092
30.863555899999998,75.85863797292505
30.863555899999998,75.85864325948918
30.863555899999998,75.85864854605332
30.863555899999998,75.85865383261745
30.863555899999998,75.85865911918158
30.863555899999998,75.85866440574571
30.863555899999998,75.85866969230985
30.863555899999998,75.85867497887396
30.863555899999998,75.8586802654381
30.863555899999998,75.85868555200224
30.863555899999998,75.85869083856637
30.863555899999998,75.85869612513049
30.863555899999998,75.85870141169462
30.863555899999998,75.85870669825876
